10-Yard Fight,Nintendo,1985
1942,Capcom,1986
1943: The Battle of Midway,Capcom,1988
3-D WorldRunner,Acclaim,1987
6-in-1 (Caltron),Caltron,1992
6-in-1 (Myriad),Myriad,1992
720°,Mindscape,1989
8 Eyes,Taxan,1990
Abadox,Milton Bradley,1990
Action 52,Active Enterprises,1991
"Addams Family, The",Ocean Software,1992
"Addams Family, The: Pugsley's Scavenger Hunt",Ocean Software,1993
Advanced Dungeons & Dragons: DragonStrike,FCI,1992
Advanced Dungeons & Dragons: Heroes of the Lance,FCI,1991
Advanced Dungeons & Dragons: Hillsfar,FCI,1993
Advanced Dungeons & Dragons: Pool of Radiance,FCI,1992
Adventure Island,Hudson Soft,1988
Adventure Island 3,Hudson Soft,1992
Adventure Island II,Hudson Soft,1991
Adventures in the Magic Kingdom,Capcom,1990
"Adventures of Bayou Billy, The",Konami,1989
"Adventures of Captain Comic, The",Color Dreams,1989
Adventures of Dino Riki,Hudson Soft,1989
"Adventures of Gilligan's Island, The",Bandai,1990
Adventures of Lolo,HAL Laboratory,1989
Adventures of Lolo 2,HAL Laboratory,1990
Adventures of Lolo 3,HAL Laboratory,1991
"Adventures of Rad Gravity, The",Activision,1990
"Adventures of Rocky and Bullwinkle and Friends, The",THQ,1992
"Adventures of Tom Saywer, The",Meldac,1989
After Burner,Tengen,1989
Air Fortress,HAL Laboratory,1989
Airwolf,Acclaim,1989
Al Unser Jr. Turbo Racing,Data East,1990
Alfred Chicken,Mindscape,1994
Alien Syndrome,Tengen,1988
Alien³,LJN,1993
All-Pro Basketball,Vic Tokai,1989
Alpha Mission,SNK,1987
Amagon,American Sammy,1989
American Gladiators,GameTek,1991
Anticipation,Nintendo,1988
Arch Rivals,Acclaim,1990
Archon,Activision,1989
Arkanoid,Taito,1987
Arkista's Ring,American Sammy,1990
Astyanax,Jaleco,1990
Athena,SNK,1987
Athletic World (Family Fun Fitness label),Bandai,1987
Athletic World (Power Pad label),Bandai,1988
Attack of the Killer Tomatoes,THQ,1992
Baby Boomer,Color Dreams,1989
Back to the Future,LJN,1989
Back to the Future Part II & III,LJN,1990
Bad Dudes,Data East,1990
Bad News Baseball,Tecmo,1990
Bad Street Brawler,Mattel Electronics,1989
Balloon Fight,Nintendo,1986
Bandai Golf: Challenge Pebble Beach,Bandai,1989
Bandit Kings of Ancient China,Koei,1990
Barbie,Hi-Tech Expressions,1991
"Bard's Tale, The",FCI,1991
Barker Bill's Trick Shooting,Nintendo,1990
Baseball,Nintendo,1985
Baseball Simulator 1.000,Culture Brain,1990
Baseball Stars,SNK,1989
Baseball Stars II,Romstar,1992
Bases Loaded,Jaleco,1988
Bases Loaded 3,Jaleco,1991
Bases Loaded 4,Jaleco,1993
Bases Loaded II: Second Season,Jaleco,1990
Batman,Sunsoft,1990
Batman Returns,Konami,1993
Batman: Return of the Joker,Sunsoft,1991
Battle Chess,Data East,1990
"Battle of Olympus, The",Broderbund,1989
Battle Tank,Absolute,1990
Battleship,Mindscape,1993
Battletoads,Tradewest,1991
Battletoads & Double Dragon,Tradewest,1993
Bee 52,Camerica,1992
Beetlejuice,LJN,1991
Best of the Best: Championship Karate,Electro Brain,1992
Bible Adventures,Wisdom Tree,1990
Bible Buffet,Wisdom Tree,1993
Big Nose Freaks Out,Camerica,1992
Big Nose Freaks Out (Aladdin),Camerica,1993
Big Nose the Caveman,Camerica,1991
Bigfoot,Acclaim,1990
Bill & Ted's Excellent Video Game Adventure,LJN,1991
Bill Elliott's NASCAR Challenge,Konami,1991
Bionic Commando,Capcom,1988
"Black Bass, The",Hot-B,1989
Blackjack,AVE,1992
Blades of Steel,Konami,1988
Blades of Steel (Red Label),Konami,1990
Blaster Master,Sunsoft,1988
"Blue Marlin, The",Hot-B,1992
"Blues Brothers, The",Titus,1992
Bo Jackson Baseball,Data East,1991
Bomberman,Hudson Soft,1987
Bomberman II,Hudson Soft,1993
Bonk's Adventure,Hudson Soft,1994
Boulder Dash,JVC,1990
"Boy and His Blob, A: Trouble on Blobolonia",Absolute,1990
Bram Stoker's Dracula,Sony Imagesoft,1993
Break Time: The National Pool Tour,FCI,1993
BreakThru,Data East,1987
Bubble Bath Babes,Panesian,1991
Bubble Bobble,Taito,1988
Bubble Bobble Part 2,Taito,1993
Bucky O'Hare,Konami,1992
